word,transcription,index,long
accroître,a.k.ʁ.w.a.t.ʁ,5,1
accroître,a.k.ʁ.w.a.t,1,1
accroître,a.k.ʁ.w.a.t,5,0
accru,a.k.ʁ.y,1,0
accrue,a.k.ʁ.y,1,0
accueil,a.k.œ.j,1,0
accueillante,a.k.œ.j.ɑ̃.t,1,0
accueille,a.k.œ.j,1,0
accueillent,a.k.œ.j,1,0
accueillent,z.a.k.œ.j,2,0
accueillera,a.k.œ.j.ʁ.a,1,0
accueillera,a.k.œ.j.ʁ.a,6,1
accueilli,a.k.œ.j.i,1,0
accueillie,a.k.œ.j.i,1,0
accueillies,a.k.œ.j.i,1,0
accueillir,a.k.œ.j.i.ʁ,1,0
accueils,a.k.œ.j,1,0
accueils,z.a.k.œ.j,2,0
accumulé,a.k.y.m.y.l.e,1,0
accurso,a.k.y.ʁ.s.o,1,0
accusateur,a.k.y.z.a.t.œ.ʁ,1,0
accusateur,a.k.y.z.a.t.œ.ʁ,5,0
accusation,a.k.y.z.a.s.j.ɔ̃,1,0
accusation,a.k.y.z.a.s.j.ɔ̃,5,0
accusatoire,a.k.y.z.a.t.w.a.ʁ,1,0
accusatoire,a.k.y.z.a.t.w.a.ʁ,5,0
accusatoire,a.k.y.z.a.t.w.a.ʁ,8,1
accuse,a.k.y.z,1,0
accusent,a.k.y.z,1,0
accusé,a.k.y.z.e,1,0
accusés,t.a.k.y.z.e,2,0
accès,a.k.s.ɛ,1,0
accéder,a.k.s.e.d.e,1,0
accédé,a.k.s.e.d.e,1,0
accélérant,n.a.k.s.e.l.e.ʁ.ɑ̃,2,0
accélérateur,a.k.s.e.l.e.ʁ.a.t.œ.ʁ,1,0
accélérateur,a.k.s.e.l.e.ʁ.a.t.œ.ʁ,8,0
accélération,a.k.s.e.l.e.ʁ.a.s.j.ɔ̃,1,0
accélération,a.k.s.e.l.e.ʁ.a.s.j.ɔ̃,8,0
accélérer,a.k.s.e.l.e.ʁ.e,1,0
accéléré,a.k.s.e.l.e.ʁ.e,1,0
accélérée,a.k.s.e.l.e.ʁ.e,1,0
accélérées,a.k.s.e.l.e.ʁ.e,1,0
acharnement,a.ʃ.a.ʁ.n.ə.m.ɑ̃,1,0
acharnement,a.ʃ.a.ʁ.n.ə.m.ɑ̃,3,0
acharnée,a.ʃ.a.ʁ.n.e,1,0
acharnée,a.ʃ.a.ʁ.n.e,3,0
achat,a.ʃ.a,1,0
achat,a.ʃ.a,3,1
achats,z.a.ʃ.a,2,0
achats,z.a.ʃ.a,4,1
acheminées,a.ʃ.m.i.n.e,1,0
acheter,a.ʃ.t.e,1,0
acheteur,a.ʃ.t.œ.ʁ,1,0
acheté,a.ʃ.t.e,1,0
achetées,a.ʃ.t.e,1,0
achetés,a.ʃ.t.e,1,0
achevé,a.ʃ.v.e,1,0
achète,a.ʃ.ɛ.t,1,0
achètent,a.ʃ.ɛ.t,1,0
achève,a.ʃ.ɛ.v,1,0
acier,a.s.j.e,1,0
acolytes,a.k.ɔ.ʎ.i.t,1,0
acquis,a.k.i,1,0
acquis,z.a.k.i,2,0
acquis,a.c.i,1,0
acquise,a.k.i.z,1,0
acquise,a.c.i.z,1,0
acquises,a.c.i.z,1,0
acquisition,a.k.i.z.i.s.j.ɔ̃,1,0
acquisitions,a.c.i.z.i.s.j.ɔ̃,1,0
acquitter,a.c.i.t.e,1,0
acquittée,a.c.i.t.e,1,0
acquérir,a.k.e.ʁ.i.ʁ,1,0
acquérir,a.c.e.ʁ.i.ʁ,1,0
