législature,prénom,nom,nom_complet,du,au,parti,circonscription
43,Andrés,Fontecilla,Andrés Fontecilla,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,QS,Laurier-Dorion
43,Céline,Haytayan,Céline Haytayan,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Laval-des-Rapides
43,Marie-Louise,Tardif,Marie-Louise Tardif,2022-10-03T00:00:00Z,2023-03-06T00:00:00Z,CAQ,Laviolette–Saint-Maurice
43,Marie-Louise,Tardif,Marie-Louise Tardif,2023-03-07T00:00:00Z,2023-03-27T00:00:00Z,IND,Laviolette–Saint-Maurice
43,Marie-Louise,Tardif,Marie-Louise Tardif,2022-03-28T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Laviolette–Saint-Maurice
43,Lucie,Lecours,Lucie Lecours,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Les Plaines
43,Bernard,Drainville,Bernard Drainville,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Lévis
43,Isabelle,Lecours,Isabelle Lecours,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Lotbinière-Frontenac
43,Geneviève,Guilbault,Geneviève Guilbault,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Louis-Hébert
43,Frédéric,Beauchemin,Frédéric Beauchemin,2022-10-03T00:00:00Z,2023-10-06T00:00:00Z,PLQ,Marguerite-Bourgeoys
43,Frédéric,Beauchemin,Frédéric Beauchemin,2023-10-07T00:00:00Z,2023-12-14T00:00:00Z,IND,Marguerite-Bourgeoys
43,Frédéric,Beauchemin,Frédéric Beauchemin,2023-12-15T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Marguerite-Bourgeoys
43,Shirley,Dorismond,Shirley Dorismond,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Marie-Victorin
43,Enrico,Ciccone,Enrico Ciccone,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Marquette
