prénom,nom,nom_complet,genre,année_naissance,municipalité,région,lieu
Marie,Montpetit,Marie Montpetit,f,1979,Sainte-Marthe,Montérégie,Québec
Johanne,Morasse,Johanne Morasse,f,1957,Duparquet,Abitibi-Témiscamingue,Québec
Pierre,Moreau,Pierre Moreau,m,1957,Verchères,Montérégie,Québec
André,Morin,André Morin,m,1961,Montréal,Montréal,Québec
Claude,Morin,Claude Morin,m,1953,Saint-Gédéon-de-Beauce,Chaudière-Appalaches,Québec
Michel,Morin,Michel Morin,m,1948,Saint-Célestin,Centre-du-Québec,Québec
Norbert,Morin,Norbert Morin,m,1945,Saint-François-de-la-Rivière-du-Sud,Chaudière-Appalaches,Québec
Catherine,Morissette,Catherine Morissette,f,1979,Québec,Capitale-Nationale,Québec
Thomas,Mulcair,Thomas Mulcair,m,1954,Ottawa,,Ontario
Gabriel,Nadeau-Dubois,Gabriel Nadeau-Dubois,m,1990,Montréal,Montréal,Québec
Marie-Claude,Nichols,Marie-Claude Nichols,f,1973,Terrebonne,Lanaudière,Québec
Nathalie,Normandeau,Nathalie Normandeau,f,1968,Maria,Gaspésie–Îles-de-la-Madeleine,Québec
Martin,Ouellet,Martin Ouellet,m,1977,Baie-Comeau,Côte-Nord,Québec
Martine,Ouellet,Martine Ouellet,f,1969,Longueuil,Montérégie,Québec
Guy,Ouellette,Guy Ouellette,m,1951,Sherbrooke,Estrie,Québec
François,Ouimet,François Ouimet,m,1959,Montréal,Montréal,Québec
Gilles,Ouimet,Gilles Ouimet,m,1962,Montréal,Montréal,Québec
Sylvain,Pagé,Sylvain Pagé,m,1961,Mont-Laurier,Laurentides,Québec
Lucie,Papineau,Lucie Papineau,f,1946,Laval-des-Rapides,Laval,Québec
Alain,Paquet,Alain Paquet,m,1961,Québec,Capitale-Nationale,Québec
Jean-Pierre,Paquin,Jean-Pierre Paquin,m,1948,Montréal,Montréal,Québec
Roger,Paquin,Roger Paquin,m,1947,Montréal,Montréal,Québec
François,Paradis,François Paradis,m,1957,Sorel,Montérégie,Québec
Pascal,Paradis,Pascal Paradis,m,1971,Québec,Capitale-Nationale,Québec
Pierre,Paradis,Pierre Paradis,m,1950,Bedford,Estrie,Québec
Jean-Guy,Paré,Jean-Guy Paré,m,1947,Warwick,Centre-du-Québec,Québec
David,Payne,David Payne,m,1944,Middlesbrough,,Angleterre
André,Pelletier,André Pelletier,m,1941,Évain,Abitibi-Témiscamingue,Québec
Benoît,Pelletier,Benoît Pelletier,m,1960,Québec,Capitale-Nationale,Québec
Émilien,Pelletier,Émilien Pelletier,m,1945,Rivière-Bleue,Bas-Saint-Laurent,Québec
Irvin,Pelletier,Irvin Pelletier,m,1946,Sayabec,Bas-Saint-Laurent,Québec
Robert,Perreault,Robert Perreault,m,1947,Sainte-Anne-de-la-Pérade,Mauricie,Québec
Sarah,Perreault,Sarah Perreault,f,1962,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
Méganne,Perry Mélançon,Méganne Perry Mélançon,f,1990,Gaspé,Gaspésie–Îles-de-la-Madeleine,Québec
Marc,Picard,Marc Picard,m,1955,Saint-Raphaël,Chaudière-Appalaches,Québec
Marilyne,Picard,Marilyne Picard,f,1982,,,
Michel,Pigeon,Michel Pigeon,m,1945,Québec,Capitale-Nationale,Québec
Claude,Pinard,Claude Pinard,m,1949,Shawinigan-Sud,Mauricie,Québec
Marc,Plante,Marc Plante,m,1981,Sainte-Angèle-de-Prémont,Mauricie,Québec
Robert,Poëti,Robert Poëti,m,1955,Montréal,Montréal,Québec
Carole,Poirier,Carole Poirier,f,1958,Montréal,Montréal,Québec
Saul,Polo,Saul Polo,m,1975,,,Colombie
Isabelle,Poulet,Isabelle Poulet,f,1968,Montréal,Montréal,Québec
Normand,Poulin,Normand Poulin,m,1954,Beauceville,Chaudière-Appalaches,Québec
Samuel,Poulin,Samuel Poulin,m,1991,,,Maroc
Elisabeth,Prass,Elisabeth Prass,f,1979,Montréal,Montréal,Québec
Caroline,Proulx,Caroline Proulx,f,1966,Saint-Jean-de-Matha,Lanaudière,Québec
Marie-Eve,Proulx,Marie-Eve Proulx,f,,Saint-Pierre-de-la-Rivière-du-Sud,Chaudière-Appalaches,Québec
Sébastien,Proulx,Sébastien Proulx,m,1975,Montréal,Montréal,Québec
Suzanne,Proulx,Suzanne Proulx,f,1959,Laval,Laval,Québec
Luc,Provençal,Luc Provençal,m,1955,Beauceville,Chaudière-Appalaches,Québec
Daniel,Ratthé,Daniel Ratthé,m,1956,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
François,Rebello,François Rebello,m,1970,Montréal,Montréal,Québec
Claude,Reid,Claude Reid,m,1964,Valleyfield,Montérégie,Québec
Pierre,Reid,Pierre Reid,m,1948,Jonquière,Saguenay–Lac-Saint-Jean,Québec
Jeannine,Richard,Jeannine Richard,f,1952,Montréal,Montréal,Québec
Lorraine,Richard,Lorraine Richard,f,1959,Havre-Saint-Pierre,Côte-Nord,Québec
Monique,Richard,Monique Richard,f,1947,Jonquière,Saguenay–Lac-Saint-Jean,Québec
Roland,Richer,Roland Richer,m,1941,Wentworth-Nord,Laurentides,Québec
André,Riedl,André Riedl,m,1940,Montréal,Montréal,Québec
Jean,Rioux,Jean Rioux,m,1953,Trois-Rivières,Mauricie,Québec
Matthias,Rioux,Matthias Rioux,m,1934,Rivière-à-Claude,Gaspésie–Îles-de-la-Madeleine,Québec
Mathieu,Rivest,Mathieu Rivest,m,1967,Beauport,Capitale-Nationale,Québec
Marwah,Rizqy,Marwah Rizqy,f,1985,Montréal,Montréal,Québec
Jean-François,Roberge,Jean-François Roberge,m,1974,,Montérégie,Québec
Gilles,Robert,Gilles Robert,m,1955,Saint-Jérôme,Laurentides,Québec
Hélène,Robert,Hélène Robert,f,1945,Sainte-Scholastique,Laurentides,Québec
Paule,Robitaille,Paule Robitaille,f,1962,Québec,Capitale-Nationale,Québec
Nathalie,Rochefort,Nathalie Rochefort,f,1970,Québec,Capitale-Nationale,Québec
Jean,Rochon,Jean Rochon,m,1938,Montréal,Montréal,Québec
Sylvain,Rochon,Sylvain Rochon,m,1961,Sorel-Tracy,Montérégie,Québec
Filomena,Rotiroti,Filomena Rotiroti,f,1974,Montréal,Montréal,Québec
