id,prénom,nom,nom_complet,genre,annee_naissance,municipalité,région,lieu,lat,long
89010,Isabelle,Charest,Isabelle Charest,f,1971,Rimouski,Bas-Saint-Laurent,Québec,48.450155,-68.529968
96194,Jean,Charest,Jean Charest,m,1958,Sherbrooke,Estrie,Québec,45.403271,-71.889038
92540,Nancy,Charest,Nancy Charest,f,1959,Matane,Bas-Saint-Laurent,Québec,48.8468773,-67.5295498
46334,Solange,Charest,Solange Charest,f,1950,Amqui,Bas-Saint-Laurent,Québec,48.4656706,-67.4315171
51427,Benoit,Charette,Benoit Charette,m,1976,Saint-Jérôme,Laurentides,Québec,45.775426,-74.013176
33483,Lucie,Charlebois,Lucie Charlebois,f,1959,Coteau-Station,Montérégie,Québec,45.2785524,-74.229744
13019,MarieChantal,Chassé,MarieChantal Chassé,f,1966,Montréal,Montréal,Québec,45.5031824,-73.5698065
66087,Youri,Chassin,Youri Chassin,m,1977,Sainte-Agathe-des-Monts,Laurentides,Québec,46.046072,-74.279938
82504,André,Chenail,André Chenail,m,1946,Sainte-Clotilde,Montérégie,Québec,45.1571128,-73.6768108
66281,Germain,Chevarie,Germain Chevarie,m,1952,Îles-de-la-Madeleine,Gaspésie–Îles-de-la-Madeleine,Québec,47.3220992,-61.8773745
87797,Guy,Chevrette,Guy Chevrette,m,1940,Saint-Côme,Lanaudière,Québec,46.271037,-73.771477
67265,Roch,Cholette,Roch Cholette,m,1963,Lachine,Montréal,Québec,45.435114,-73.6837987
17106,Enrico,Ciccone,Enrico Ciccone,m,1970,Montréal,Montréal,Québec,45.5031824,-73.5698065
97606,Jean-Marie,Claveau,Jean-Marie Claveau,m,1950,Saint-Félix-d'Otis,Saguenay–Lac-Saint-Jean,Québec,48.273597,-70.626297
20472,Maurice,Clermont,Maurice Clermont,m,1944,Laval,Laval,Québec,45.60558895,-73.73456014508847
15038,David,Cliche,David Cliche,m,1952,Saint-Joseph-de-Beauce,Chaudière-Appalaches,Québec,46.310181,-70.877953
90958,Guillaume,Cliche-Rivard,Guillaume Cliche-Rivard,m,1989,Saint-Jean-sur-Richelieu,Montérégie,Québec,45.3056879,-73.2533401
58291,Alexandre,Cloutier,Alexandre Cloutier,m,1977,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec,48.3370248,-71.12352613559267
14828,Martin,Coiteux,Martin Coiteux,m,1962,Sorel,Montérégie,Québec,46.044404,-73.104744
94202,Russell,Copeman,Russell Copeman,m,1960,Montréal,Montréal,Québec,45.5031824,-73.5698065
94072,Pierre,Corbeil,Pierre Corbeil,m,1955,Saint-Hyacinthe,Montérégie,Québec,45.627484,-72.940636
32828,François,Corriveau,François Corriveau,m,1969,Baie-Comeau,Côte-Nord,Québec,49.2118373,-68.1801406
82050,Jacques,Côté,Jacques Côté,m,1944,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec,48.3370248,-71.12352613559267
89804,Michel,Côté,Michel Côté,m,1937,Petit-Saguenay,Saguenay–Lac-Saint-Jean,Québec,48.21232,-70.070114
50748,Philippe,Couillard,Philippe Couillard,m,1957,Montréal,Montréal,Québec,45.5031824,-73.5698065
46224,Michelle,Courchesne,Michelle Courchesne,f,1953,Trois-Rivières,Mauricie,Québec,46.3432325,-72.5428485
18122,Claude,Cousineau,Claude Cousineau,m,1950,Montréal,Montréal,Québec,45.5031824,-73.5698065
33262,Pierre,Curzi,Pierre Curzi,m,1946,Montréal,Montréal,Québec,45.5031824,-73.5698065
58655,William,Cusano,William Cusano,m,1943,,,Italie,,
30352,Jean,D'Amour,Jean D'Amour,m,1963,Rivière-du-Loup,Bas-Saint-Laurent,Québec,47.8358164,-69.5368025
87557,Sylvie,D'Amours,Sylvie D'Amours,f,1960,Malartic,Abitibi-Témiscamingue,Québec,48.137225,-78.125153
65786,Jean,Damphousse,Jean Damphousse,m,1952,Saint-Paulin,Mauricie,Québec,46.417742,-73.013763
43890,Hélène,Daneault,Hélène Daneault,f,1961,Salaberry-de-Valleyfield,Montérégie,Québec,45.2555575,-74.1316718
10865,Suzanne,Dansereau,Suzanne Dansereau,f,1952,Montréal,Montréal,Québec,45.5031824,-73.5698065
19599,Jacques,Daoust,Jacques Daoust,m,1948,Verdun,Montréal,Québec,45.459078,-73.5731774
72412,Françoise,David,Françoise David,f,1948,Montréal,Montréal,Québec,45.5031824,-73.5698065
82424,Hélène,David,Hélène David,f,1953,Montréal,Montréal,Québec,45.5031824,-73.5698065
24475,Diane,De Courcy,Diane De Courcy,f,,,,,,
58543,Albert,De Martin,Albert De Martin,m,1951,Laval,Laval,Québec,45.60558895,-73.73456014508847
52623,Rita,de Santis,Rita de Santis,f,1954,,,Italie,,
49263,Margaret,Delisle,Margaret Delisle,f,1946,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
46758,Gérard,Deltell,Gérard Deltell,m,1964,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
30163,Monsef,Derraji,Monsef Derraji,m,1976,Marrakech,,Maroc,,
67823,Pascale,Déry,Pascale Déry,f,1976,Montréal,Montréal,Québec,45.5031824,-73.5698065
64731,Robert,Deschamps,Robert Deschamps,m,1940,Grand-Mère,Mauricie,Québec,46.612894,-72.69516
73159,Pierre,Descoteaux,Pierre Descoteaux,m,1952,Montréal,Montréal,Québec,45.5031824,-73.5698065
96694,Rémy,Désilets,Rémy Désilets,m,1952,Drummondville,Centre-du-Québec,Québec,45.8864303,-72.5018764
21715,Serge,Deslières,Serge Deslières,m,1947,Montréal,Montréal,Québec,45.5031824,-73.5698065
78196,Michel,Després,Michel Després,m,1957,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
95250,François,Desrochers,François Desrochers,m,1970,Deux-Montagnes,Laurentides,Québec,45.5372581,-73.9043321
16211,Jean-Paul,Diamond,Jean-Paul Diamond,m,1940,Charette,Mauricie,Québec,46.440696,-72.924156
77460,Simon-Pierre,Diamond,Simon-Pierre Diamond,m,1985,Boucherville,Montérégie,Québec,45.6050197,-73.4526144
37536,Léandre,Dion,Léandre Dion,m,1937,Sainte-Apolline-de-Patton,Chaudière-Appalaches,Québec,46.8069944,-70.195875
85186,Amélie,Dionne,Amélie Dionne,f,1975,Rivière-du-Loup,Bas-Saint-Laurent,Québec,47.8358164,-69.5368025
16390,Rita,Dionne-Marsolais,Rita Dionne-Marsolais,f,1947,Sherbrooke,Estrie,Québec,45.403271,-71.889038
29260,Jean,Domingue,Jean Domingue,m,1962,Montréal,Montréal,Québec,45.5031824,-73.5698065
20488,Catherine,Dorion,Catherine Dorion,f,1982,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
33134,Éric,Dorion,Éric Dorion,m,1970,Drummondville,Centre-du-Québec,Québec,45.8864303,-72.5018764
25023,Shirley,Dorismond,Shirley Dorismond,f,1976,Longueuil,Montérégie,Québec,45.521906,-73.4644578
59967,Danielle,Doyer,Danielle Doyer,f,1951,Mont-Joli,Bas-Saint-Laurent,Québec,48.583875,-68.183899
80563,Bernard,Drainville,Bernard Drainville,m,1963,La-Visitation-de-l'Île-Dupas,Lanaudière,Québec,46.105536,-73.12395272759923
63023,André,Drolet,André Drolet,m,1954,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
41440,Christian,Dubé,Christian Dubé,m,1958,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
68497,Emmanuel,Dubourg,Emmanuel Dubourg,m,1958,,,Haïti,,
73304,Jean,Dubuc,Jean Dubuc,m,1941,Saint-Isidore,Chaudière-Appalaches,Québec,46.585058,-71.090469
49178,Pierre,Duchesne,Pierre Duchesne,m,1964,Jonquière,Saguenay–Lac-Saint-Jean,Québec,48.4342285,-71.2542735965741
52075,Jacques,Duchesneau,Jacques Duchesneau,m,1949,Montréal,Montréal,Québec,45.5031824,-73.5698065
50091,Marjolain,Dufour,Marjolain Dufour,m,1958,Baie-Comeau,Côte-Nord,Québec,49.2118373,-68.1801406
81179,Pierre,Dufour,Pierre Dufour,m,1965,Thetford Mines,Chaudière-Appalaches,Québec,46.091329,-71.30127
27263,Virginie,Dufour,Virginie Dufour,f,1977,Montréal,Montréal,Québec,45.5031824,-73.5698065
92538,Normand,Duguay,Normand Duguay,m,1941,Rivière-au-Tonnerre,Côte-Nord,Québec,50.2757972,-64.7748252
42308,Mario,Dumont,Mario Dumont,m,1970,Cacouna,Bas-Saint-Laurent,Québec,47.9171789,-69.5016092
93528,Jacques,Dupuis,Jacques Dupuis,m,1948,Montréal,Montréal,Québec,45.5031824,-73.5698065
45127,France-Élaine,Duranceau,France-Élaine Duranceau,f,1974,Montréal,Montréal,Québec,45.5031824,-73.5698065
15476,Robert,Dutil,Robert Dutil,m,1950,Saint-Georges,Chaudière-Appalaches,Québec,46.122987,-70.671959
13472,Jean-Bernard,Émond,Jean-Bernard Émond,m,1968,Sainte-Anne-de-Sorel,Montérégie,Québec,46.0565588,-73.0638371
93129,Joseph,Facal,Joseph Facal,m,1961,Montevideo,,Uruguay,,
11288,Luc,Ferland,Luc Ferland,m,1955,Petit-Saguenay,Saguenay–Lac-Saint-Jean,Québec,48.21232,-70.070114
25505,Pierre,Fitzgibbon,Pierre Fitzgibbon,m,1957,Montréal,Montréal,Québec,45.5031824,-73.5698065
84842,Andrés,Fontecilla,Andrés Fontecilla,m,1967,,,Chili,,
78385,André,Fortin,André Fortin,m,1981,Quyon,Outaouais,Québec,45.5204631,-76.2302306
69569,Luc,Fortin,Luc Fortin,m,1982,,,Québec,,
20189,Émilie,Foster,Émilie Foster,f,1980,Baie-Comeau,Côte-Nord,Québec,49.2118373,-68.1801406
92098,Catherine,Fournier,Catherine Fournier,f,1992,Sainte-Julie,Montérégie,Québec,45.5930624,-73.3395943
68585,Jean-Marc,Fournier,Jean-Marc Fournier,m,1959,Châteauguay,Montérégie,Québec,45.3602416,-73.749364
29390,Raymond,Francoeur,Raymond Francoeur,m,1946,Beauport,Capitale-Nationale,Québec,46.90711055,-71.21279691763314
10622,Christine,Fréchette,Christine Fréchette,f,1970,Trois-Rivières,Mauricie,Québec,46.3432325,-72.5428485
47058,André,Gabias,André Gabias,m,1956,Trois-Rivières,Mauricie,Québec,46.3432325,-72.5428485
60852,Diane,Gadoury-Hamelin,Diane Gadoury-Hamelin,f,1951,Montréal,Montréal,Québec,45.5031824,-73.5698065
64639,Gabriel-Yvan,Gagnon,Gabriel-Yvan Gagnon,m,1951,Forestville,Côte-Nord,Québec,48.739437,-69.088211
