ID_column,genre,année_naissance,municipalité,région,lieu
51286,f,1946,Lévis,Chaudière-Appalaches,Québec
20664,m,1964,Buckingham,Outaouais,Québec
63116,m,1952,Montréal,Montréal,Québec
80733,f,1944,Saint-Tite,Mauricie,Québec
23480,f,1981,Sept-Îles,Côte-Nord,Québec
40219,m,1960,Québec,Capitale-Nationale,Québec
69802,m,1969,Montréal,Montréal,Québec
50550,f,1962,Montréal,Montréal,Québec
41164,m,1950,Saint-Eustache,Laurentides,Québec
89010,f,1971,Rimouski,Bas-Saint-Laurent,Québec
96194,m,1958,Sherbrooke,Estrie,Québec
92540,f,1959,Matane,Bas-Saint-Laurent,Québec
46334,f,1950,Amqui,Bas-Saint-Laurent,Québec
51427,m,1976,Saint-Jérôme,Laurentides,Québec
33483,f,1959,Coteau-Station,Montérégie,Québec
13019,f,1966,Montréal,Montréal,Québec
66087,m,1977,Sainte-Agathe-des-Monts,Laurentides,Québec
82504,m,1946,Sainte-Clotilde,Montérégie,Québec
66281,m,1952,Les Îles-de-la-Madeleine,Gaspésie–Îles-de-la-Madeleine,Québec
87797,m,1940,Saint-Côme,Lanaudière,Québec
67265,m,1963,Lachine,Montréal,Québec
17106,m,1970,Montréal,Montréal,Québec
97606,m,1950,Saint-Félix-d'Otis,Saguenay–Lac-Saint-Jean,Québec
20472,m,1944,Laval,Laval,Québec
15038,m,1952,Saint-Joseph-de-Beauce,Chaudière-Appalaches,Québec
90958,m,1989,Saint-Jean-sur-Richelieu,Montérégie,Québec
58291,m,1977,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
14828,m,1962,Sorel,Montérégie,Québec
94202,m,1960,Montréal,Montréal,Québec
94072,m,1955,Saint-Hyacinthe,Montérégie,Québec
32828,m,1969,Baie-Comeau,Côte-Nord,Québec
82050,m,1944,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
89804,m,1937,Petit-Saguenay,Saguenay–Lac-Saint-Jean,Québec
50748,m,1957,Montréal,Montréal,Québec
46224,f,1953,Trois-Rivières,Mauricie,Québec
18122,m,1950,Montréal,Montréal,Québec
33262,m,1946,Montréal,Montréal,Québec
58655,m,1943,,,Italie
30352,m,1963,Rivière-du-Loup,Bas-Saint-Laurent,Québec
87557,f,1960,Malartic,Abitibi-Témiscamingue,Québec
65786,m,1952,Saint-Paulin,Mauricie,Québec
43890,f,1961,Salaberry-de-Valleyfield,Montérégie,Québec
10865,f,1952,Montréal,Montréal,Québec
19599,m,1948,Verdun,Montréal,Québec
72412,f,1948,Montréal,Montréal,Québec
82424,f,1953,Montréal,Montréal,Québec
24475,f,,,,
58543,m,1951,Laval,Laval,Québec
52623,f,1954,,,Italie
49263,f,1946,Québec,Capitale-Nationale,Québec
46758,m,1964,Québec,Capitale-Nationale,Québec
30163,m,1976,Marrakech,,Maroc
67823,m,1976,Montréal,Montréal,Québec
64731,m,1940,Grand-Mère,Mauricie,Québec
73159,m,1952,Montréal,Montréal,Québec
96694,m,1952,Drummondville,Centre-du-Québec,Québec
21715,m,1947,Montréal,Montréal,Québec
78196,m,1957,Québec,Capitale-Nationale,Québec
95250,m,1970,Deux-Montagnes,Laurentides,Québec
16211,m,1940,Charette,Mauricie,Québec
77460,m,1985,Boucherville,Montérégie,Québec
37536,m,1937,Sainte-Apolline-de-Patton,Chaudière-Appalaches,Québec
85186,f,1975,Rivière-du-Loup,Bas-Saint-Laurent,Québec
16390,f,1947,Sherbrooke,Estrie,Québec
29260,m,1962,Montréal,Montréal,Québec
20488,f,1982,Québec,Capitale-Nationale,Québec
33134,m,1970,Drummondville,Centre-du-Québec,Québec
25023,f,1976,Longueuil,Montérégie,Québec
59967,f,1951,Mont-Joli,Bas-Saint-Laurent,Québec
80563,m,1963,La-Visitation-de-l'Île-Dupas,Lanaudière,Québec
63023,m,1954,Québec,Capitale-Nationale,Québec
41440,m,1958,Québec,Capitale-Nationale,Québec
68497,m,1958,,,Haïti
73304,m,1941,Saint-Isidore,Montérégie,Québec
49178,m,1964,Jonquière,Saguenay–Lac-Saint-Jean,Québec
52075,m,1949,Montréal,Montréal,Québec
50091,m,1958,Baie-Comeau,Côte-Nord,Québec
81179,m,1965,Thetford Mines,Chaudière-Appalaches,Québec
27263,f,1977,Montréal,Montréal,Québec
92538,m,1941,Rivière-au-Tonnerre,Côte-Nord,Québec
42308,m,1970,Cacouna,Bas-Saint-Laurent,Québec
93528,m,1948,Montréal,Montréal,Québec
45127,f,1974,Montréal,Montréal,Québec
15476,m,1950,Saint-Georges,Chaudière-Appalaches,Québec
13472,m,1968,Sainte-Anne-de-Sorel,Montérégie,Québec
93129,m,1961,Montevideo,,Uruguay
11288,m,1955,Petit-Saguenay,Saguenay–Lac-Saint-Jean,Québec
25505,m,1957,Montréal,Montréal,Québec
84842,m,1967,,,Chili
78385,m,1981,Quyon,Outaouais,Québec
69569,m,1982,,,Québec
20189,f,1980,Baie-Comeau,Côte-Nord,Québec
92098,f,1992,Sainte-Julie,Montérégie,Québec
68585,m,1959,Châteauguay,Montérégie,Québec
29390,m,1946,Beauport,Capitale-Nationale,Québec
10622,f,1970,Trois-Rivières,Mauricie,Québec
47058,m,1956,Trois-Rivières,Mauricie,Québec
60852,f,1951,Montréal,Montréal,Québec
64639,m,1951,Forestville,Côte-Nord,Québec
28915,m,1979,Jonquière,Saguenay–Lac-Saint-Jean,Québec
59836,f,1940,Plessisville,Centre-du-Québec,Québec
37282,f,1964,Montréal,Montréal,Québec
88758,f,1948,Bécancour,Centre-du-Québec,Québec
48931,m,1957,Montréal,Montréal,Québec
73567,f,1959,Neufchâtel,Capitale-Nationale,Québec
20409,m,1970,Jonquière,Saguenay–Lac-Saint-Jean,Québec
80137,f,1953,Laterrière,Saguenay–Lac-Saint-Jean,Québec
36417,m,1943,Béthune,,France
16874,m,1935,Saint-Adalbert,Chaudière-Appalaches,Québec
64711,m,1954,Montréal,Montréal,Québec
18317,m,1944,Val-Paradis,Nord-du-Québec,Québec
23744,f,1981,Châteauguay,Montérégie,Québec
80188,f,1985,Repentigny,Lanaudière,Québec
29578,m,1955,Montréal,Montréal,Québec
66329,f,1977,,,Liban
99765,m,1955,Saint-Gilbert,Capitale-Nationale,Québec
31371,m,1964,Shawinigan,Mauricie,Québec
68250,m,1952,Shawinigan-Sud,Mauricie,Québec
42018,m,1966,Sept-Îles,Côte-Nord,Québec
57055,m,1970,Alma,Saguenay–Lac-Saint-Jean,Québec
44878,m,1967,Trois-Rivières,Mauricie,Québec
51369,m,1972,Montréal,Montréal,Québec
29921,f,1959,,,États-Unis
99702,m,1949,Charleville,,France
44661,f,1953,Montréal,Montréal,Québec
75892,m,1975,Québec,Capitale-Nationale,Québec
28628,f,1961,Saint-Léon-de-Standon,Chaudière-Appalaches,Québec
47882,m,1953,Saint-Eustache,Laurentides,Québec
51254,m,1977,Trois-Rivières,Mauricie,Québec
99506,f,1945,Drummondville,Centre-du-Québec,Québec
88176,f,1965,Berthierville,Lanaudière,Québec
62224,f,1967,Lachute,Laurentides,Québec
52460,m,1947,Saint-Jules,Chaudière-Appalaches,Québec
38811,f,1982,Greenfield Park,Montérégie,Québec
58039,f,1968,Roberval,Saguenay–Lac-Saint-Jean,Québec
28838,m,1988,Montréal,Montréal,Québec
19463,m,1958,Damas,,Syrie
73700,f,1952,Québec,Capitale-Nationale,Québec
57003,m,1950,Windsor,Estrie,Québec
76718,f,1946,Sainte-Thérèse,Laurentides,Québec
14953,f,1980,,,
68749,f,1973,Sherbrooke,Estrie,Québec
70954,m,1955,Québec,Capitale-Nationale,Québec
59202,m,1971,Montréal,Montréal,Québec
63101,f,1970,Joliette,Lanaudière,Québec
70450,f,,Meknès,,Maroc
95698,m,1975,Québec,Capitale-Nationale,Québec
89595,m,1970,Val-d'Or,Abitibi-Témiscamingue,Québec
48416,f,1962,Saint-Michel,Montérégie,Québec
42171,m,1970,Lac-Mégantic,Estrie,Québec
66936,f,1977,Montréal,Montréal,Québec
90953,f,1960,Jonquière,Saguenay–Lac-Saint-Jean,Québec
47863,f,1964,Montréal,Montréal,Québec
98543,f,1940,Montréal,Montréal,Québec
67810,m,1987,Mont-Saint-Hilaire,Montérégie,Québec
24245,m,1941,Montréal,Montréal,Québec
42203,m,1941,Montréal,Montréal,Québec
85989,m,1972,Québec,Capitale-Nationale,Québec
17689,m,1948,Drummondville,Centre-du-Québec,Québec
18709,m,1961,Montréal,Montréal,Québec
77018,m,1955,Montréal,Montréal,Québec
37453,m,1985,Montréal,Montréal,Québec
15033,m,1961,Téhéran,,Iran
79643,m,1946,Montréal,Montréal,Québec
93082,m,1961,Douala,,Cameroun
95409,f,1943,Smooth Rock Falls,,Ontario
42187,m,1947,Saint-Hyacinthe,Montérégie,Québec
41607,m,1948,Montréal,Montréal,Québec
94076,f,1987,Sherbrooke,Estrie,Québec
70534,m,1945,Saint-Nazaire-de-Dorchester,Chaudière-Appalaches,Québec
40365,f,,,,
22961,m,1988,Repentigny,Lanaudière,Québec
59678,f,1966,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
27873,m,1957,Notre-Dame-de-la-Paix,Outaouais,Québec
13010,m,1976,Granby,Estrie,Québec
32806,m,1935,Messines,Outaouais,Québec
15478,f,,,,Liban
98140,f,,,,
46092,m,1960,Saint-Félicien,Saguenay–Lac-Saint-Jean,Québec
10785,m,1958,Trois-Rivières,Mauricie,Québec
40995,m,1974,Anjou,Montréal,Québec
76516,f,1946,Montréal,Montréal,Québec
37543,m,1937,Saint-Jacques,Lanaudière,Québec
88806,f,1960,Laval,Laval,Québec
15538,f,1943,Montréal,Montréal,Québec
24390,m,1976,Montréal,Montréal,Québec
74445,m,1934,Joliette,Lanaudière,Québec
87180,m,1932,Saint-Félicien,Saguenay–Lac-Saint-Jean,Québec
22853,f,1953,Val-d'Or,Abitibi-Témiscamingue,Québec
38561,f,1957,Saint-Cuthbert,Lanaudière,Québec
34727,m,1962,Falaise,,France
24022,m,1962,Squatec,Bas-Saint-Laurent,Québec
27676,f,1968,Matane,Bas-Saint-Laurent,Québec
55330,f,1954,Saint-Jean-sur-Richelieu,Montérégie,Québec
12061,f,1962,Montréal,Montréal,Québec
73742,m,1968,Salaberry-de-Valleyfield,Montérégie,Québec
64968,f,1971,Québec,Capitale-Nationale,Québec
85661,f,1964,Repentigny,Lanaudière,Québec
35550,m,1984,Longueuil,Montérégie,Québec
13981,f,1938,Montréal,Montréal,Québec
20923,f,1979,Montréal,Montréal,Québec
25012,m,1971,Victoriaville,Centre-du-Québec,Québec
68685,m,1970,Québec,Capitale-Nationale,Québec
76511,f,1956,Montréal,Montréal,Québec
36662,m,1957,Sainte-Anne-de-Bellevue,Montréal,Québec
96510,m,1953,Montmagny,Chaudière-Appalaches,Québec
69953,f,1955,Montréal,Montréal,Québec
85404,m,1953,Lévis,Chaudière-Appalaches,Québec
27897,m,1956,,,Portugal
95816,m,1962,Sainte-Thérèse-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Québec
19642,m,1952,Sainte-Thérèse-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Québec
53590,m,1964,Amos,Abitibi-Témiscamingue,Québec
57487,m,1979,Montréal,Montréal,Québec
22095,f,1961,Sherbrooke,Estrie,Québec
89170,m,1957,Québec,Capitale-Nationale,Québec
54782,m,1936,Saint-Jovite,Laurentides,Québec
74427,f,1954,Jonquière,Saguenay–Lac-Saint-Jean,Québec
43053,m,1962,Thetford Mines,Chaudière-Appalaches,Québec
55473,f,1991,Duhamel-Ouest,Abitibi-Témiscamingue,Québec
59212,m,1949,Montréal,Montréal,Québec
90471,m,1970,Lévis,Chaudière-Appalaches,Québec
92562,m,1988,Gatineau,Outaouais,Québec
99121,m,1973,Lac-Mégantic,Estrie,Québec
97834,m,1958,Thetford Mines,Chaudière-Appalaches,Québec
40132,f,1954,Montréal,Montréal,Québec
31151,f,,,,
80903,m,1942,Cantalupo,,Italie
11237,m,1947,Buckingham,Outaouais,Québec
54584,f,1948,Berlin,,Allemagne de l'Ouest
63659,f,1981,LaSalle,Montréal,Québec
93238,f,1956,Sault-au-Mouton,Côte-Nord,Québec
39026,m,1954,Casablanca,,Maroc
83451,f,1971,Montréal,Montréal,Québec
91526,m,1964,Montréal,Montréal,Québec
20436,m,1945,Sainte-Catherine-de-la-Jacques-Cartier,Capitale-Nationale,Québec
52046,m,1941,Saint-Lambert-de-Lauzon,Chaudière-Appalaches,Québec
86045,m,1968,Granby,Estrie,Québec
95075,f,1949,Québec,Capitale-Nationale,Québec
36539,m,1948,Montréal,Montréal,Québec
40328,m,1964,Grand-Mère,Mauricie,Québec
68409,f,1963,Windsor,Estrie,Québec
46350,m,1949,Saint-Alban,Capitale-Nationale,Québec
28898,f,1952,,,Québec
13966,f,1970,Montréal,Montréal,Québec
76485,m,1960,Montréal-Est,Montréal,Québec
57403,f,1974,Montréal,Montréal,Québec
34326,f,1948,Saint-Constant,Montérégie,Québec
47471,m,1941,Montréal,Montréal,Québec
13459,m,1967,Québec,Capitale-Nationale,Québec
11874,m,1965,Montréal,Montréal,Québec
65166,f,1957,Henryville,Montérégie,Québec
21188,m,1935,Aylmer,Outaouais,Québec
19373,m,1971,Baie-Comeau,Côte-Nord,Québec
13539,f,1979,Sainte-Marthe,Montérégie,Québec
47638,f,1957,Duparquet,Abitibi-Témiscamingue,Québec
63064,m,1957,Verchères,Montérégie,Québec
10478,m,1961,Montréal,Montréal,Québec
95110,m,1953,Saint-Gédéon-de-Beauce,Chaudière-Appalaches,Québec
79460,m,1948,Saint-Célestin,Centre-du-Québec,Québec
21201,m,1945,Saint-François-de-la-Rivière-du-Sud,Chaudière-Appalaches,Québec
39777,f,1979,Québec,Capitale-Nationale,Québec
74593,m,1954,Ottawa,,Ontario
44263,m,1990,Montréal,Montréal,Québec
48329,f,1973,Terrebonne,Lanaudière,Québec
98588,f,1968,Maria,Gaspésie–Îles-de-la-Madeleine,Québec
65232,m,1977,Baie-Comeau,Côte-Nord,Québec
78559,f,1969,Longueuil,Montérégie,Québec
59145,m,1951,Sherbrooke,Estrie,Québec
38679,m,1959,Montréal,Montréal,Québec
52470,m,1962,Montréal,Montréal,Québec
46095,m,1961,Mont-Laurier,Laurentides,Québec
71045,f,1946,Laval-des-Rapides,Laval,Québec
24488,m,1961,Québec,Capitale-Nationale,Québec
34534,m,1948,Montréal,Montréal,Québec
23348,m,1947,Montréal,Montréal,Québec
36496,m,1957,Sorel,Montérégie,Québec
21110,m,1971,Québec,Capitale-Nationale,Québec
93523,m,1950,Bedford,Estrie,Québec
52128,m,1947,Warwick,Centre-du-Québec,Québec
26355,m,1944,Middlesbrough,,Angleterre
63012,m,1941,Évain,Abitibi-Témiscamingue,Québec
25785,m,1960,Québec,Capitale-Nationale,Québec
45938,m,1945,Rivière-Bleue,Bas-Saint-Laurent,Québec
51468,m,1946,Sayabec,Bas-Saint-Laurent,Québec
36692,m,1947,Sainte-Anne-de-la-Pérade,Mauricie,Québec
36811,f,1962,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
92340,f,1990,Gaspé,Gaspésie–Îles-de-la-Madeleine,Québec
71570,m,1955,Saint-Raphaël,Chaudière-Appalaches,Québec
81431,f,1982,,,
89478,m,1945,Québec,Capitale-Nationale,Québec
38517,m,1949,Shawinigan-Sud,Mauricie,Québec
15785,m,1981,Sainte-Angèle-de-Prémont,Mauricie,Québec
98781,m,1955,Montréal,Montréal,Québec
77650,f,1958,Montréal,Montréal,Québec
35407,m,1975,,,Colombie
79155,f,1968,Montréal,Montréal,Québec
19808,m,1954,Beauceville,Chaudière-Appalaches,Québec
31526,m,1991,,,Maroc
89124,f,1979,Montréal,Montréal,Québec
52013,f,1966,Saint-Jean-de-Matha,Lanaudière,Québec
64664,f,,Saint-Pierre-de-la-Rivière-du-Sud,Chaudière-Appalaches,Québec
85377,m,1975,Montréal,Montréal,Québec
76843,f,1959,Laval,Laval,Québec
15219,m,1955,Beauceville,Chaudière-Appalaches,Québec
97310,m,1956,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
82538,m,1970,Montréal,Montréal,Québec
82137,m,1964,Valleyfield,Montérégie,Québec
77464,m,1948,Jonquière,Saguenay–Lac-Saint-Jean,Québec
39256,f,1952,Montréal,Montréal,Québec
66902,f,1959,Havre-Saint-Pierre,Côte-Nord,Québec
24877,f,1947,Jonquière,Saguenay–Lac-Saint-Jean,Québec
32682,m,1941,Wentworth-Nord,Laurentides,Québec
18561,m,1940,Montréal,Montréal,Québec
10575,m,1953,Trois-Rivières,Mauricie,Québec
38300,m,1934,Rivière-à-Claude,Gaspésie–Îles-de-la-Madeleine,Québec
56345,m,1967,Beauport,Capitale-Nationale,Québec
14401,f,1985,Montréal,Montréal,Québec
52260,m,1974,,Montérégie,Québec
14208,m,1955,Saint-Jérôme,Laurentides,Québec
38271,f,1945,Sainte-Scholastique,Laurentides,Québec
62692,f,1962,Québec,Capitale-Nationale,Québec
92769,f,1970,Québec,Capitale-Nationale,Québec
44062,m,1938,Montréal,Montréal,Québec
80605,m,1961,Sorel-Tracy,Montérégie,Québec
30644,f,1974,Montréal,Montréal,Québec
56363,f,1959,Repentigny,Lanaudière,Québec
61713,m,1953,Montréal,Montréal,Québec
90724,m,1973,Victoriaville,Centre-du-Québec,Québec
42930,m,1952,Montmagny,Chaudière-Appalaches,Québec
94349,f,1964,New Carlisle,Gaspésie–Îles-de-la-Madeleine,Québec
29097,f,1962,Sherbrooke,Estrie,Québec
13225,m,1964,Saint-Jean,,Nouveau-Brunswick
27626,f,1964,La Tuque,Mauricie,Québec
41363,f,1961,Verdun,Montréal,Québec
96522,f,1955,Montréal,Montréal,Québec
43941,f,1960,Montréal,Montréal,Québec
93280,f,,Strasbourg,,France
94803,m,1973,,,Suisse
31656,m,1951,Val-d'Or,Abitibi-Témiscamingue,Québec
59276,f,1973,Thetford Mines,Chaudière-Appalaches,Québec
88331,f,1938,Saint-Jean-sur-Richelieu,Montérégie,Québec
95732,m,1953,Normandin,Saguenay–Lac-Saint-Jean,Québec
23400,f,1974,Baie-Saint-Paul,Capitale-Nationale,Québec
34867,m,1966,Québec,Capitale-Nationale,Québec
80983,m,1950,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
46675,m,1945,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
18976,m,1948,Athènes,,Grèce
53703,m,1979,Montréal,Montréal,Québec
30893,m,1974,Montréal,Montréal,Québec
56492,f,1974,Saint-Rémi,Montérégie,Québec
75431,m,1952,Québec,Capitale-Nationale,Québec
44669,m,1950,Thetford Mines,Chaudière-Appalaches,Québec
39106,f,1964,Sainte-Thècle,Mauricie,Québec
27087,m,1962,Montréal,Montréal,Québec
73049,m,1958,Montréal,Montréal,Québec
12830,m,1963,Brownsburg,Laurentides,Québec
61414,f,1948,Québec,Capitale-Nationale,Québec
38470,m,1967,Joliette,Lanaudière,Québec
10162,f,1953,Saint-Roch-des-Aulnaies,Chaudière-Appalaches,Québec
51408,m,1977,Trois-Rivières,Mauricie,Québec
12881,m,1969,Rimouski,Bas-Saint-Laurent,Québec
98383,m,1963,,,
24468,m,1945,Saint-Jérôme,Laurentides,Québec
39080,m,1973,,,
11290,m,,,,
16799,f,,Sainte-Anne-de-la-Pocatière,Bas-Saint-Laurent,Québec
71694,f,1953,Saint-Philémon,Chaudière-Appalaches,Québec
13522,f,1966,Toronto,,Ontario
76951,m,1960,Montréal,Montréal,Québec
44366,m,1966,Verdun,Montréal,Québec
93311,m,1969,Québec,Capitale-Nationale,Québec
92457,m,1971,,,
92888,m,1971,Montréal,Montréal,Québec
77496,m,1939,Montréal,Montréal,Québec
19478,m,1984,Mascouche,Lanaudière,Québec
52166,m,1970,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
41246,m,1984,Mascouche,Lanaudière,Québec
78050,m,1973,Alma,Saguenay–Lac-Saint-Jean,Québec
86777,f,1977,Chicoutimi-Nord,Saguenay–Lac-Saint-Jean,Québec
20978,f,1974,Jonquière,Saguenay–Lac-Saint-Jean,Québec
61824,m,1952,Dolbeau-Mistassini,Saguenay–Lac-Saint-Jean,Québec
90859,f,1955,Alma,Saguenay–Lac-Saint-Jean,Québec
89845,m,1970,Shawinigan,Mauricie,Québec
36819,m,1948,Sainte-Thècle,Mauricie,Québec
93789,m,1983,Longueuil,Montérégie,Québec
62145,m,1955,Verdun,Montréal,Québec
18111,f,1971,Sherbrooke,Estrie,Québec
61332,f,1978,Danville,Estrie,Québec
98601,m,1949,Danville,Estrie,Québec
69171,m,1971,Sorel,Montérégie,Québec
57060,f,1945,Montréal,Montréal,Québec
34408,f,1967,Lévis,Chaudière-Appalaches,Québec
35429,m,1961,Lavaltrie,Lanaudière,Québec
30229,m,1982,Val-d'Or,Abitibi-Témiscamingue,Québec
66766,f,1954,Montréal,Montréal,Québec
65862,m,1967,Montréal,Montréal,Québec
95674,m,1953,London,,Ontario
16275,f,1988,,,Pérou
61820,f,1959,Sorel,Montérégie,Québec
76572,m,1982,Québec,Capitale-Nationale,Québec
