discourse,speaker,phone,phone_duration,phone_begin,phone_end,phone_position,previous_phone,following_phone,following_following_phone,syllable,syllable_begin,syllable_end,word,transcription,word_begin,word_end
27263_f1_int2_20221201_CH_194021,27263,ø,0.21000000000000085,33.92,34.13,5,j,<SIL>,l,s.j.ø,33.77,34.13,monsieur,m.ə.s.j.ø,33.65,34.13
ANQ096-9,10162,ø,0.21950113378684932,70.34263038548752,70.56213151927437,2,d,s,ɑ̃,d.ø,70.22290249433107,70.56213151927437,deux,d.ø,70.22290249433107,70.56213151927437
20189_f2_int2_2021_03_31_CH_0-1626,20189,ø,0.08999999999999986,15.56,15.65,2,v,m,ɛ,v.ø,15.49,15.65,veut,v.ø,15.49,15.65
ANQ069-2,95075,ø,0.11972789115646344,11.007482993197277,11.12721088435374,6,ʁ,z,m,ʁ.ø.z,10.937641723356007,11.207029478458049,malheureusement,m.a.l.ø.ʁ.ø.z.m.ɑ̃,10.598412698412696,11.436507936507937
23400_f2_int3_2017_04_27_comm,23400,ø,0.120000000000001,18.5,18.62,2,d,m,i,d.ø,18.37,18.62,deux,d.ø,18.37,18.62
20488_f1_int2_2022_03_29_assnat_161259,20488,ø,0.09000000000000341,100.55,100.64,6,j,<SIL>,NA,s.j.ø,100.3,100.64,ambitieux,ɑ̃.b.i.s.j.ø,100.05,100.64
38811_f4_int5_2018_03_21_assnat,38811,ø,0.06000000000000227,84.59,84.65,2,d,m,i,d.ø,84.53,84.65,deux,d.ø,84.53,84.65
ANQ027-4,33483,ø,0.11972789115647232,71.34036281179138,71.46009070294785,2,p,k,ə,p.ø,71.23061224489796,71.46009070294785,peux,p.ø,71.23061224489796,71.46009070294785
52013_f2_int2_2021_03_31_CH_0-1652,52013,ø,0.07000000000000028,53.66,53.73,2,d,m,i,d.ø,53.62,53.73,deux,d.ø,53.62,53.73
ANQ031-14,46224,ø,0.10975056689342466,73.1562358276644,73.26598639455783,8,d,p,u,d.ø,73.08639455782313,73.26598639455783,soixante-deux,s.w.a.s.ɑ̃.t.d.ø,72.4578231292517,73.26598639455783
13539_f3_int5_2019_04_02_assnat_1622,13539,ø,0.05000000000000071,15.68,15.73,5,j,d,ə,z.j.ø,15.58,15.73,yeux,l.e.z.j.ø,15.52,15.73
66902_f3_int6_2013_02_13_comm_2,66902,ø,0.09000000000000008,1.21,1.3,5,j,l,ə,s.j.ø,0.99,1.3,monsieur,m.ə.s.j.ø,0.87,1.3
30777_f2_int3_20221206_CH_193811,30777,ø,0.120000000000001,28.86,28.98,3,ʁ,<SIL>,d,ʁ.ø,28.78,28.98,heureux,ø.ʁ.ø,28.61,28.98
61332_f3_int4_2013_02_15_comm_1,61332,ø,0.0899999999999892,92.15,92.24,6,ʁ,z,m,ʁ.ø.z,92.1,92.32,malheureusement,m.a.l.œ.ʁ.ø.z.m.ɑ̃,91.73,92.52
ANQ031-2,46224,ø,0.0897959183673469,1.5090702947845804,1.5988662131519271,2,v,ʁ,e,v.ø,1.3793650793650791,1.5988662131519271,veux,v.ø,1.3793650793650791,1.5988662131519271
20923_f3_int4_2005_05_03_assnat,20923,ø,0.1299999999999999,7.17,7.3,5,j,z,m,ʁ.j.ø.z,7.01,7.37,sérieusement,s.e.ʁ.j.ø.z.m.ɑ̃,6.76,7.59
48329_f4_int5_2019_04_02_assnat_1952,48329,ø,0.11999999999999744,44.67,44.79,2,d,<SIL>,p,d.ø,44.57,44.79,deux,d.ø,44.57,44.79
22095_f1_int2_2006_04_05_assnat,22095,ø,0.3199999999999932,65.53,65.85,2,s,<SIL>,c,s.ø,65.34,65.85,ceux,s.ø,65.34,65.85
23806_f3_int4_20221206_CH_205000,23806,ø,0.09000000000000341,86.82,86.91,3,ʒ,<SIL>,ʒ,ʒ.ø,86.71,86.91,enjeux,ɑ̃.ʒ.ø,86.58,86.91
89010_f5_int6_2022_03_29_assnat_105202,89010,ø,0.10999999999999945,61.02,61.13,2,d,s,ɑ̃,d.ø,60.76,61.13,deux,d.ø,60.76,61.13
59678_f2_int2_2019_04_18_CH_0-19_30,59678,ø,0.10000000000000142,47.57,47.67,3,ʒ,d,ə,ʒ.ø,47.49,47.67,enjeux,ɑ̃.ʒ.ø,47.34,47.67
56492_f3_int4_2018_06_07_assnat_1,56492,ø,0.11999999999999744,50.88,51,2,mʲ,m,ɛ,mʲ.ø,50.85,51,mieux,mʲ.ø,50.85,51
35448_f3_int4_20221208_CH_114157,35448,ø,0.12999999999999545,50.92,51.05,5,j,<SIL>,o,ʁ.j.ø,50.83,51.05,sérieux,s.e.ʁ.j.ø,50.67,51.05
ANQ007-2,66831,ø,0.10975056689342376,4.871428571428572,4.981179138321996,2,d,z,j,d.ø,4.761678004535147,4.981179138321996,deuxième,d.ø.z.j.ɛ.m,4.761678004535147,5.210657596371882
29097_f2_int3_20221206_CH_161009,29097,ø,0.06000000000000227,20.15,20.21,5,j,l,ə,s.j.ø,19.95,20.21,monsieur,m.ə.s.j.ø,19.83,20.21
28898_f3_int3_2019_05_02_CH_0-19_30,28898,ø,0.1999999999999993,19.41,19.61,2,d,a,n,d.ø,19.32,19.61,deux,d.ø,19.32,19.61
61332_f1_int2_2013_02_15_comm_1,61332,ø,0.1700000000000017,94.17,94.34,2,p,<SIL>,l,p.ø,94.08,94.34,peu,p.ø,94.08,94.34
